FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '3d-viewer-api.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 72, 'match': 'attachments/3d-viewer-api/show-properties.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-api/show-properties.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-api/show-properties.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 68, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-startupflow.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-startupflow.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-startupflow.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 88, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-configuration.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-configuration.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-configuration.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 92, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-teamcenterlogin.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-teamcenterlogin.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-teamcenterlogin.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 111, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-tcmodellist.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-tcmodellist.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-tcmodellist.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 115, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-textboxchange.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-textboxchange.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-textboxchange.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 119, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-searchsync.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-searchsync.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-searchsync.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 123, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-wrapdataviews.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-wrapdataviews.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-wrapdataviews.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 127, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-samplesearch.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-samplesearch.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-samplesearch.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 137, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-pageobject.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-pageobject.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-pageobject.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 142, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-homepagedataviews.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-homepagedataviews.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-homepagedataviews.jpg'}
